,Flight,Aicraft
659,6E-439,A321
660,6E-5501,A320
661,6E-821,A320
662,AI-623,A319
663,6E-6029,A320
664,SG-223,737
665,AI-601,A319
666,G8-398,A320
667,G8-3184,A320
668,6E-5431,
669,G8-2504,A320
670,G8-2506,A320
671,AI-603,A20N
672,6E-5338,A320
673,6E-5366,A321
674,6E-219,A321
675,6E-6463,A320
676,6E-6258,A321
677,6E-354,A321
678,6E-5209,A321
679,6E-5312,A320
680,6E-236,A320
681,6E-5217,A321
682,6E-5359,A320
683,6E-6109,A320
684,6E-5391,A320
685,I5-423,A320
686,SG-455,B38M
687,6E-179,A321
688,SG-488,B38M
689,6E-5307,A320
690,6E-5317,A320
691,G8-390,A320
692,6E-5396,A320
693,6E-5202,A321
694,SG-475,737
695,6E-331,A320
696,6E-6818,A321
697,6E-5375,A320
698,6E-5208,A320
699,6E-6123,A320
700,6E-136,A320
701,6E-5393,A320
702,6E-6051,A320
703,6E-711,A321
704,6E-5316,A321
705,6E-5236,A320
706,G8-2601,A320
707,G8-602,A320
708,G8-7561,
709,SG-9923,
710,6E-5371,A321
711,6E-7292,ATR
712,6E-6809,A320
713,6E-825,A320
714,6E-5352,A320
715,6E-6478,A321
716,6E-6817,A321
717,6E-6293,A320
718,6E-5345,A320
719,6E-739,A320
720,SG-415,737
721,SG-634,737
722,6E-461,A320
723,6E-234,A320
724,6E-818,A320
725,6E-448,A320
726,6E-434,A321
727,6E-6094,A320
728,6E-5337,A320
729,6E-907,A321
730,G8-705,A320
731,6E-5343,A321
732,SG-3440,DH8B
733,6E-395,A320
734,6E-6014,A321
735,6E-6749,A320
736,SG-467,B38M
737,6E-6326,A321
738,6E-205,A321
739,6E-5342,A321
740,6E-363,A321
741,SG-241,B38M
742,6E-312,A320
743,6E-5302,A320
744,SG-401,737
745,SG-163,B38M
746,SG-251,B38M
747,6E-544,A321
748,SG-923,737
749,6E-519,A320
750,6E-5373,A320
751,SG-611,737
752,6E-5349,A320
753,6E-6088,A320
754,6E-6475,A320
755,6E-559,A320
756,SG-5018,
757,6E-832,A321
758,6E-627,A321
759,SG-5074,
760,G8-2605,A320
761,6E-6474,A320
762,6E-227,A320
763,6E-6223,A320
764,SG-5079,
765,6E-6086,A321
766,6E-5355,A321
767,6E-533,A320
768,6E-542,A320
769,6E-802,A321
770,SG-487,B38M
771,G8-397,A320
772,G8-2607,A320
773,SG-3248,
774,6E-932,A320
775,G8-7557,
776,G8-347,A320
777,G8-305,A320
778,G8-384,A320
779,6E-5206,A321
780,6E-6206,A320
781,6E-5214,A321
782,6E-5368,A320
783,6E-5379,A320
784,6E-5398,A320
785,SG-6003,
786,SG-5019,
787,G8-303,A320
788,AI-9030,
789,6E-6292,A321
790,6E-911,A320
791,I5-996,A20N
792,UK-820,A321
793,UK-802,A320
794,6E-6139,A321
795,6E-2514,A320
796,6E-2027,A320
797,6E-2174,A321
798,6E-2034,A321
799,AI-505,A20N
800,AI-501,A20N
801,AI-503,A20N
802,I5-1566,A20N
803,G8-405,A320
804,G8-873,A320
805,G8-385,A320
806,SG-136,737
807,I5-1528,A320
808,6E-2186,A321
809,AI-804,A20N
810,UK-810,A320
811,AI-808,A320
812,I5-749,A320
813,AI-523,A319
814,UK-808,A320
815,UK-816,A320
816,UK-818,A321
817,I5-1982,A320
818,I5-1426,A320
819,UK-858,A320
820,6E-6104,A320
821,I5-2392,A320
822,AI-640,A20N
823,6E-436,A320
824,UK-657,A320
825,G8-283,A320
826,AI-573,A20N
827,6E-6257,A321
828,SG-4009,DH8B
829,I5-592,A320
830,SG-531,737
831,6E-276,A320
832,6E-6753,A320
833,UK-850,A320
834,G8-395,A320
835,6E-484,A321
836,6E-6535,A321
837,SG-209,B38M
838,6E-415,A320
839,6E-6491,A320
840,6E-7223,ATR
841,UK-854,A320
842,6E-702,A320
843,G8-320,A320
844,6E-886,A321
845,I5-992,A320
846,SG-3027,DH8B
847,6E-528,A321
848,6E-6067,A320
849,I5-1229,A320
850,AI-9501,
851,AI-9517,
852,G8-803,A320
853,UK-755,A320
854,SG-198,737
855,I5-892,A320
856,I5-589,A320
857,6E-2337,A321
858,6E-455,A320
859,6E-807,A321
860,6E-6393,A320
861,AI-507,A321
862,AI-9876,
863,6E-6339,A320
864,I5-1621,A320
865,I5-819,A320
866,G8-146,A320
867,AI-9505,
868,AI-9547,
869,SG-768,737
870,G8-116,A320
871,G8-118,A320
872,I5-1782,A320
873,G8-312,A320
874,SG-4005,DH8B
875,AI-9927,
876,SG-517,B38M
877,SG-327,B38M
878,UK-867,A320
879,6E-6802,A320
880,SG-3023,DH8B
881,AI-565,A320
882,SG-5013,
883,SG-5002,
884,SG-535,737
885,I5-410,A320
886,I5-1780,A20N
887,I5-2472,A320
888,G8-791,A320
889,AI-516,A319
890,AI-610,A321
891,AI-748,A321
892,AI-738,A321
893,AI-9925,
894,G8-285,A320
895,UK-814,A320
896,6E-2025,A321
897,6E-6386,A321
898,I5-972,A320
899,UK-897,A320
900,UK-893,A320
901,UK-864,A320
902,UK-846,A320
903,UK-866,A320
904,AI-9931,AT43
905,I5-5405,A320
906,I5-5402,
907,I5-1321,A320
908,I5-722,A20N
909,6E-855,A320
910,6E-638,A321
911,6E-426,A321
912,I5-818,A320
913,I5-1427,A320
914,I5-991,A320
915,I5-1561,A320
916,I5-820,A320
917,I5-2461,A20N
918,I5-1451,A320
919,SG-5006,
920,I5-1783,A320
921,I5-1576,A20N
922,I5-1228,A320
923,I5-1983,A320
924,I5-1731,A20N
925,I5-1562,A320
926,I5-339,A320
927,G8-808,A320
928,G8-7547,
929,G8-7548,
930,G8-241,A320
931,G8-2231,A320
932,G8-7543,
933,G8-399,A320
934,G8-518,
935,6E-747,A320
936,G8-510,A320
937,6E-232,A320
938,6E-708,A320
939,6E-2053,A320
940,SG-468,B38M
941,6E-684,A320
942,I5-1540,A320
943,I5-1530,A320
944,I5-334,A320
945,6E-543,A320
946,6E-6178,A321
947,G8-294,A320
948,G8-815,A320
949,SG-516,B38M
950,6E-6876,A321
951,6E-408,A320
952,AI-776,A321
953,SG-438,737
